net,length_um
_02_,59.48
net5,58.36
net1,57.86
_00_,47.08
net2,44.68
net16,40.9
net6,39.13
net3,38.86
net7,36.68
_03_,35.3
net15,33.42
net14,27.76
_04_,27.74
_09_,27.18
net10,26.64
_07_,26.22
net8,24.26
net4,22.16
net12,21.62
net11,17.62
net13,17.36
_05_,16.1
_06_,14.9
in[7],12.79
in[1],12.09
out[0],11.89
in[0],10.73
out[7],10.61
net9,10.4
in[2],7.67
out[6],6.69
in[5],6.31
_08_,5.52
out[3],5.29
out[5],5.29
in[3],4.95
in[4],4.95
in[6],4.61
_01_,4.46
out[1],3.93
out[2],3.93
out[4],3.93
